date;TOL;fda_TOL
2017-01-01;8.43;0
2017-01-02;15.44;1
2017-01-03;10.59;1
2017-01-04;21.47;1
2017-01-05;15.59;1
2017-01-06;6.01;1
2017-01-07;7.66;1
2017-01-08;9.4;1
2017-01-09;19.67;1
2017-01-10;5.25;1
2017-01-11;4.37;1
2017-01-12;1.83;1
2017-01-13;1.54;1
2017-01-14;1.23;1
2017-01-15;1.77;1
2017-01-16;1.61;0
2017-01-17;1.36;0
2017-01-18;3.03;0
2017-01-19;3.17;0
2017-01-20;4.77;0
2017-01-21;4.71;0
2017-01-22;2.45;0
2017-01-23;4.63;0
2017-01-24;6.36;0
2017-01-25;7.46;0
2017-01-26;5.99;0
2017-01-27;5.73;0
2017-01-28;4.08;0
2017-01-29;6.78;0
2017-01-30;8.16;0
2017-01-31;3.34;0
2017-02-01;7.05;0
2017-02-02;1.55;0
2017-02-03;2.8;0
2017-02-04;2.14;0
2017-02-05;1.14;0
2017-02-06;7.54;0
2017-02-07;2.68;0
2017-02-08;2.6;0
2017-02-09;6.02;0
2017-02-10;6.08;0
2017-02-11;2.44;0
2017-02-12;3.96;0
2017-02-13;6.57;1
2017-02-14;13.78;1
2017-02-15;12.2;1
2017-02-16;6.36;1
2017-02-17;5.74;1
2017-02-18;4.82;1
2017-02-19;2.77;1
2017-02-20;4.3;0
2017-02-21;2.64;0
2017-02-22;2.37;0
2017-02-23;3.04;0
2017-02-24;1.65;0
2017-02-25;2.18;0
2017-02-26;1.1;0
2017-02-27;2.15;0
2017-02-28;1.85;0
2017-03-01;2.89;0
2017-03-02;3.05;0
2017-03-03;3.99;0
2017-03-04;0.91;0
2017-03-05;2.37;0
2017-03-06;0.87;0
2017-03-07;2.81;0
2017-03-08;3.29;0
2017-03-09;4.81;0
2017-03-10;6.75;0
2017-03-11;3.56;0
2017-03-12;0.58;0
2017-03-13;1.18;0
2017-03-14;1.15;0
2017-03-15;2.33;0
2017-03-16;2.67;0
2017-03-17;1.13;0
2017-03-18;0.74;0
2017-03-19;0.77;0
2017-03-20;2.18;0
2017-03-21;1.71;0
2017-03-22;1.21;0
2017-03-23;1.08;0
2017-03-24;1.49;0
2017-03-25;2.36;0
2017-03-26;1.8;0
2017-03-27;1.91;0
2017-03-28;5.16;0
2017-03-29;5.7;0
2017-03-30;6.3;0
2017-03-31;2.88;0
2017-04-01;0.45;0
2017-04-02;0.19;0
2017-04-03;2.45;0
2017-04-04;1.61;0
2017-04-05;0.47;0
2017-04-06;1.3;0
2017-04-07;1.81;0
2017-04-08;2.44;0
2017-04-09;1.4;0
2017-04-10;1.03;0
2017-04-11;0.72;0
2017-04-12;0.77;0
2017-04-13;0.57;0
2017-04-14;0.51;0
2017-04-15;0.3;0
2017-04-16;1.02;0
2017-04-17;0.4;0
2017-04-18;0.29;0
2017-04-19;0.51;0
2017-04-20;0.67;0
2017-04-21;2.22;0
2017-04-22;2.36;0
2017-04-23;0.76;0
2017-04-24;2.48;0
2017-04-25;0.63;0
2017-04-26;0.38;0
2017-04-27;0.5;0
2017-04-28;0.81;0
2017-04-29;0.86;0
2017-04-30;0.6;0
2017-05-01;1.3;0
2017-05-02;1.3;0
2017-05-03;0.78;0
2017-05-04;1.68;0
2017-05-05;2.57;0
2017-05-06;1.19;0
2017-05-07;0.65;0
2017-05-08;1.34;0
2017-05-09;1.32;0
2017-05-10;1.96;0
2017-05-11;2.54;0
2017-05-12;1.62;0
2017-05-13;0.92;0
2017-05-14;0.68;0
2017-05-15;1.55;0
2017-05-16;1.45;0
2017-05-17;1.43;0
2017-05-18;0.94;0
2017-05-19;1.67;0
2017-05-20;0.72;0
2017-05-21;1.18;0
2017-05-22;1.18;0
2017-05-23;1.64;0
2017-05-24;1.92;0
2017-05-25;3.92;0
2017-05-26;2.96;0
2017-05-27;1.34;0
2017-05-28;0.6;0
2017-05-29;1.0;0
2017-05-30;1.94;0
2017-05-31;1.4;0
2017-06-01;3.6;0
2017-06-02;0.76;0
2017-06-03;0.6;0
2017-06-04;0.76;0
2017-06-05;1.14;1
2017-06-06;0.28;1
2017-06-07;1.05;1
2017-06-08;0.98;1
2017-06-09;0.98;1
2017-06-10;0.9;1
2017-06-11;0.4;1
2017-06-12;0.61;0
2017-06-13;0.82;0
2017-06-14;1.02;0
2017-06-15;0.65;0
2017-06-16;0.33;0
2017-06-17;0.36;0
2017-06-18;0.86;0
2017-06-19;2.61;0
2017-06-20;2.45;0
2017-06-21;1.78;0
2017-06-22;0.7;0
2017-06-23;0.76;0
2017-06-24;0.51;0
2017-06-25;0.51;0
2017-06-26;0.77;0
2017-06-27;1.25;0
2017-06-28;0.87;0
2017-06-29;0.69;0
2017-06-30;0.57;0
2017-07-01;0.45;0
2017-07-02;0.4;0
2017-07-03;0.76;0
2017-07-04;1.35;0
2017-07-05;0.79;0
2017-07-06;1.13;0
2017-07-07;0.9;0
2017-07-08;0.31;0
2017-07-09;0.45;0
2017-07-10;0.42;1
2017-07-11;0.57;1
2017-07-12;0.99;1
2017-07-13;0.74;1
2017-07-14;0.31;1
2017-07-15;0.35;1
2017-07-16;0.28;1
2017-07-17;0.92;0
2017-07-18;0.91;0
2017-07-19;0.97;0
2017-07-20;0.57;0
2017-07-21;0.58;0
2017-07-22;0.52;0
2017-07-23;0.32;0
2017-07-24;0.31;0
2017-07-25;0.48;0
2017-07-26;0.81;0
2017-07-27;1.06;0
2017-07-28;0.76;0
2017-07-29;0.62;0
2017-07-30;0.35;0
2017-07-31;0.54;0
2017-08-01;0.5;0
2017-08-02;0.73;0
2017-08-03;0.88;0
2017-08-04;1.1;0
2017-08-05;0.27;0
2017-08-06;0.25;0
2017-08-07;0.64;0
2017-08-08;0.42;0
2017-08-09;0.58;0
2017-08-10;1.09;0
2017-08-11;0.68;0
2017-08-12;0.61;0
2017-08-13;0.47;0
2017-08-14;0.47;1
2017-08-15;0.29;1
2017-08-16;0.85;1
2017-08-17;0.94;1
2017-08-18;0.72;1
2017-08-19;0.27;1
2017-08-20;0.62;1
2017-08-21;2.24;0
2017-08-22;1.44;0
2017-08-23;1.0;0
2017-08-24;0.93;0
2017-08-25;1.14;0
2017-08-26;1.15;0
2017-08-27;1.48;0
2017-08-28;1.11;0
2017-08-29;0.64;0
2017-08-30;0.67;0
2017-08-31;1.78;0
2017-09-01;0.86;0
2017-09-02;0.84;0
2017-09-03;1.02;0
2017-09-04;0.94;0
2017-09-05;0.92;0
2017-09-06;0.6;0
2017-09-07;0.96;0
2017-09-08;0.35;0
2017-09-09;0.38;0
2017-09-10;0.68;0
2017-09-11;0.43;0
2017-09-12;0.66;0
2017-09-13;0.96;0
2017-09-14;0.66;0
2017-09-15;0.73;0
2017-09-16;1.02;0
2017-09-17;0.56;0
2017-09-18;0.88;0
2017-09-19;0.92;0
2017-09-20;2.35;0
2017-09-21;1.2;0
2017-09-22;0.38;0
2017-09-23;1.34;0
2017-09-24;0.63;0
2017-09-25;0.8;0
2017-09-26;1.52;0
2017-09-27;2.03;0
2017-09-28;2.08;0
2017-09-29;1.54;0
2017-09-30;0.69;0
2017-10-01;0.61;0
2017-10-02;1.16;0
2017-10-03;0.83;0
2017-10-04;0.88;0
2017-10-05;0.73;0
2017-10-06;0.5;0
2017-10-07;0.76;0
2017-10-08;1.2;0
2017-10-09;1.48;0
2017-10-10;2.47;0
2017-10-11;2.43;0
2017-10-12;2.25;0
2017-10-13;1.65;0
2017-10-14;1.84;0
2017-10-15;6.14;0
2017-10-16;2.08;0
2017-10-17;1.59;0
2017-10-18;1.81;0
2017-10-19;1.94;0
2017-10-20;2.98;0
2017-10-21;0.55;0
2017-10-22;0.63;0
2017-10-23;1.57;0
2017-10-24;3.78;0
2017-10-25;3.79;0
2017-10-26;3.3;0
2017-10-27;2.29;0
2017-10-28;0.84;0
2017-10-29;0.58;0
2017-10-30;0.42;0
2017-10-31;1.74;0
2017-11-01;4.1;0
2017-11-02;3.47;0
2017-11-03;2.65;0
2017-11-04;1.57;0
2017-11-05;0.63;0
2017-11-06;1.46;0
2017-11-07;1.51;0
2017-11-08;1.26;0
2017-11-09;1.39;0
2017-11-10;1.71;0
2017-11-11;1.13;0
2017-11-12;0.87;0
2017-11-13;1.39;0
2017-11-14;1.62;0
2017-11-15;3.76;0
2017-11-16;4.97;0
2017-11-17;2.1;0
2017-11-18;2.9;0
2017-11-19;2.67;0
2017-11-20;5.98;0
2017-11-21;5.21;0
2017-11-22;3.39;0
2017-11-23;5.53;0
2017-11-24;1.83;0
2017-11-25;0.43;0
2017-11-26;1.14;0
2017-11-27;1.9;0
2017-11-28;1.64;0
2017-11-29;1.64;0
2017-11-30;1.37;0
2017-12-01;0.91;0
2017-12-02;0.59;0
2017-12-03;1.18;0
2017-12-04;2.15;0
2017-12-05;2.7;0
2017-12-06;3.19;0
2017-12-07;3.34;0
2017-12-08;0.56;0
2017-12-09;0.83;0
2017-12-10;0.66;0
2017-12-11;0.55;0
2017-12-12;1.22;0
2017-12-13;2.12;0
2017-12-14;0.97;0
2017-12-15;0.86;0
2017-12-16;0.83;0
2017-12-17;1.37;0
2017-12-18;1.74;0
2017-12-19;2.33;0
2017-12-20;2.53;0
2017-12-21;3.9;0
2017-12-22;3.05;0
2017-12-23;2.6;0
2017-12-24;2.02;0
2017-12-25;1.09;0
2017-12-26;1.4;0
2017-12-27;0.87;0
2017-12-28;2.08;0
2017-12-29;4.71;0
2017-12-30;6.41;0
2017-12-31;1.3;0
2018-01-01;1.01;0
2018-01-02;0.71;0
2018-01-03;0.5;0
2018-01-04;2.58;0
2018-01-05;0.55;0
2018-01-06;0.51;0
2018-01-07;0.91;0
2018-01-08;1.95;0
2018-01-09;1.98;0
2018-01-10;2.6;0
2018-01-11;0.75;0
2018-01-12;3.43;0
2018-01-13;2.97;0
2018-01-14;1.38;0
2018-01-15;1.71;0
2018-01-16;0.83;0
2018-01-17;1.24;0
2018-01-18;2.4;0
2018-01-19;2.9;0
2018-01-20;2.91;0
2018-01-21;2.92;0
2018-01-22;3.45;0
2018-01-23;2.11;0
2018-01-24;2.11;0
2018-01-25;0.77;0
2018-01-26;0.74;0
2018-01-27;0.68;0
2018-01-28;1.26;0
2018-01-29;2.72;0
2018-01-30;1.95;0
2018-01-31;1.17;0
2018-02-01;1.38;0
2018-02-02;1.59;0
2018-02-03;1.15;0
2018-02-04;0.66;0
2018-02-05;1.24;0
2018-02-06;1.78;0
2018-02-07;1.43;0
2018-02-08;1.87;0
2018-02-09;2.18;0
2018-02-10;1.89;0
2018-02-11;1.48;0
2018-02-12;2.22;1
2018-02-13;2.15;1
2018-02-14;13.65;1
2018-02-15;11.35;1
2018-02-16;4.91;1
2018-02-17;1.64;1
2018-02-18;1.83;1
2018-02-19;1.51;0
2018-02-20;1.26;0
2018-02-21;1.34;0
2018-02-22;2.03;0
2018-02-23;2.17;0
2018-02-24;2.46;0
2018-02-25;2.84;0
2018-02-26;1.73;0
2018-02-27;0.55;0
2018-02-28;1.67;0
2018-03-01;6.57;0
2018-03-02;4.0;0
2018-03-03;4.11;0
2018-03-04;4.0;0
2018-03-05;1.64;0
2018-03-06;1.64;0
2018-03-07;1.87;0
2018-03-08;4.15;0
2018-03-09;2.27;0
2018-03-10;2.17;0
2018-03-11;0.41;0
2018-03-12;0.57;0
2018-03-13;2.83;0
2018-03-14;2.8;0
2018-03-15;2.52;0
2018-03-16;2.02;0
2018-03-17;0.8;0
2018-03-18;0.51;0
2018-03-19;0.85;0
2018-03-20;1.04;0
2018-03-21;1.09;0
2018-03-22;1.93;0
2018-03-23;2.03;0
2018-03-24;0.27;0
2018-03-25;0.79;0
2018-03-26;2.26;1
2018-03-27;1.54;1
2018-03-28;1.16;1
2018-03-29;0.5;1
2018-03-30;0.27;1
2018-03-31;0.46;1
2018-04-01;2.29;1
2018-04-02;4.14;0
2018-04-03;1.97;0
2018-04-04;2.07;0
2018-04-05;3.54;0
2018-04-06;3.91;0
2018-04-07;0.61;0
2018-04-08;0.77;0
2018-04-09;0.99;0
2018-04-10;1.22;0
2018-04-11;1.46;0
2018-04-12;3.24;0
2018-04-13;2.48;0
2018-04-14;1.8;0
2018-04-15;1.57;0
2018-04-16;2.02;0
2018-04-17;3.26;0
2018-04-18;3.84;0
2018-04-19;2.75;0
2018-04-20;1.77;0
2018-04-21;5.62;0
2018-04-22;2.3;0
2018-04-23;1.14;0
2018-04-24;1.25;0
2018-04-25;1.36;0
2018-04-26;1.39;0
2018-04-27;1.36;0
2018-04-28;1.1;0
2018-04-29;1.05;0
2018-04-30;1.56;0
2018-05-01;1.0;0
2018-05-02;1.56;0
2018-05-03;1.34;0
2018-05-04;1.49;0
2018-05-05;1.47;0
2018-05-06;1.65;0
2018-05-07;3.07;0
2018-05-08;1.26;0
2018-05-09;1.18;0
2018-05-10;1.09;0
2018-05-11;2.02;0
2018-05-12;1.21;0
2018-05-13;1.3;0
2018-05-14;1.17;0
2018-05-15;1.51;0
2018-05-16;1.29;0
2018-05-17;1.26;0
2018-05-18;1.39;0
2018-05-19;0.96;0
2018-05-20;0.98;0
2018-05-21;1.67;0
2018-05-22;1.77;0
2018-05-23;1.98;0
2018-05-24;1.74;0
2018-05-25;1.97;0
2018-05-26;1.07;0
2018-05-27;1.01;0
2018-05-28;1.37;0
2018-05-29;1.59;0
2018-05-30;2.06;0
2018-05-31;1.3;0
2018-06-01;1.41;0
2018-06-02;1.24;0
2018-06-03;1.13;0
2018-06-04;1.57;0
2018-06-05;1.63;0
2018-06-06;1.18;0
2018-06-07;1.33;0
2018-06-08;1.48;0
2018-06-09;1.19;0
2018-06-10;1.35;0
2018-06-11;1.41;0
2018-06-12;1.01;0
2018-06-13;1.17;0
2018-06-14;2.04;0
2018-06-15;2.35;0
2018-06-16;0.93;0
2018-06-17;0.97;0
2018-06-18;1.53;0
2018-06-19;0.96;0
2018-06-20;1.5;0
2018-06-21;1.21;0
2018-06-22;0.99;0
2018-06-23;1.06;0
2018-06-24;1.45;0
2018-06-25;1.98;0
2018-06-26;1.22;0
2018-06-27;1.0;0
2018-06-28;1.3;0
2018-06-29;1.2;0
2018-06-30;1.34;0
2018-07-01;1.44;0
2018-07-02;1.63;0
2018-07-03;1.18;0
2018-07-04;1.52;0
2018-07-05;1.86;0
2018-07-06;1.21;0
2018-07-07;1.11;0
2018-07-08;1.01;0
2018-07-09;1.59;0
2018-07-10;1.44;0
2018-07-11;2.27;0
2018-07-12;1.47;0
2018-07-13;1.44;0
2018-07-14;1.11;0
2018-07-15;1.01;0
2018-07-16;0.95;0
2018-07-17;2.07;0
2018-07-18;1.88;0
2018-07-19;1.23;0
2018-07-20;1.67;0
2018-07-21;1.38;0
2018-07-22;0.97;0
2018-07-23;1.38;0
2018-07-24;1.38;0
2018-07-25;2.87;0
2018-07-26;2.87;0
2018-07-27;4.35;0
2018-07-28;4.35;0
2018-07-29;2.77;0
2018-07-30;4.69;0
2018-07-31;2.82;0
2018-08-01;3.36;0
2018-08-02;4.98;0
2018-08-03;8.2;0
2018-08-04;3.28;0
2018-08-05;2.64;0
2018-08-06;5.87;0
2018-08-07;2.07;0
2018-08-08;3.62;0
2018-08-09;3.35;0
2018-08-10;4.44;0
2018-08-11;1.08;0
2018-08-12;0.91;0
2018-08-13;0.43;1
2018-08-14;0.69;1
2018-08-15;0.35;1
2018-08-16;0.7;1
2018-08-17;0.47;1
2018-08-18;0.74;1
2018-08-19;0.71;1
2018-08-20;1.19;0
2018-08-21;1.05;0
2018-08-22;1.15;0
2018-08-23;0.8;0
2018-08-24;0.8;0
2018-08-25;0.4;0
2018-08-26;0.65;0
2018-08-27;2.34;0
2018-08-28;1.25;0
2018-08-29;0.72;0
2018-08-30;1.25;0
2018-08-31;1.56;0
2018-09-01;1.12;0
2018-09-02;1.03;0
2018-09-03;1.67;0
2018-09-04;1.69;0
2018-09-05;1.29;0
2018-09-06;1.6;0
2018-09-07;1.39;0
2018-09-08;1.85;0
2018-09-09;0.56;0
2018-09-10;1.42;0
2018-09-11;2.64;0
2018-09-12;2.14;0
2018-09-13;2.33;0
2018-09-14;1.34;0
2018-09-15;1.23;0
2018-09-16;0.99;0
2018-09-17;2.33;0
2018-09-18;2.03;0
2018-09-19;1.72;0
2018-09-20;2.36;0
2018-09-21;1.59;0
2018-09-22;1.03;0
2018-09-23;0.54;0
2018-09-24;0.65;0
2018-09-25;1.2;0
2018-09-26;3.61;0
2018-09-27;2.51;0
2018-09-28;1.32;0
2018-09-29;0.8;0
2018-09-30;0.58;0
2018-10-01;0.75;0
2018-10-02;2.59;0
2018-10-03;2.95;0
2018-10-04;5.81;0
2018-10-05;2.56;0
2018-10-06;1.58;0
2018-10-07;1.39;0
2018-10-08;2.45;0
2018-10-09;4.15;0
2018-10-10;9.18;0
2018-10-11;6.44;0
2018-10-12;3.09;0
2018-10-13;3.73;0
2018-10-14;1.96;0
2018-10-15;4.0;0
2018-10-16;5.89;0
2018-10-17;4.65;0
2018-10-18;3.85;0
2018-10-19;5.05;0
2018-10-20;3.56;0
2018-10-21;2.34;0
2018-10-22;2.12;0
2018-10-23;4.09;0
2018-10-24;6.61;0
2018-10-25;6.56;0
2018-10-26;4.42;0
2018-10-27;1.46;0
2018-10-28;1.52;0
2018-10-29;2.79;0
2018-10-30;5.05;0
2018-10-31;3.39;0
2018-11-01;2.35;0
2018-11-02;2.63;0
2018-11-03;2.24;0
2018-11-04;2.49;0
2018-11-05;2.3;0
2018-11-06;2.83;0
2018-11-07;3.15;0
2018-11-08;5.48;0
2018-11-09;2.68;0
2018-11-10;5.15;0
2018-11-11;5.85;0
2018-11-12;5.0;1
2018-11-13;7.2;1
2018-11-14;10.41;1
2018-11-15;11.65;1
2018-11-16;11.65;1
2018-11-17;11.16;1
2018-11-18;5.19;1
2018-11-19;4.22;0
2018-11-20;2.18;0
2018-11-21;6.82;0
2018-11-22;6.19;0
2018-11-23;6.91;0
2018-11-24;4.47;0
2018-11-25;2.41;0
2018-11-26;5.22;1
2018-11-27;8.97;1
2018-11-28;13.32;1
2018-11-29;9.88;1
2018-11-30;9.38;1
2018-12-01;10.05;1
2018-12-02;11.82;1
2018-12-03;13.14;1
2018-12-04;6.82;1
2018-12-05;9.23;1
2018-12-06;8.85;1
2018-12-07;8.64;1
2018-12-08;8.03;1
2018-12-09;4.83;1
2018-12-10;9.02;1
2018-12-11;12.17;1
2018-12-12;7.68;1
2018-12-13;2.59;1
2018-12-14;4.51;1
2018-12-15;6.81;1
2018-12-16;2.67;1
2018-12-17;9.21;1
2018-12-18;4.34;1
2018-12-19;6.18;1
2018-12-20;11.92;1
2018-12-21;21.79;1
2018-12-22;13.27;1
2018-12-23;8.46;1
2018-12-24;10.36;1
2018-12-25;8.15;1
2018-12-26;14.01;1
2018-12-27;10.97;1
2018-12-28;9.75;1
2018-12-29;6.78;1
2018-12-30;5.02;1
2018-12-31;6.3;0
2019-01-01;3.61;0
2019-01-02;1.96;0
2019-01-03;7.13;0
2019-01-04;7.06;0
2019-01-05;6.42;0
2019-01-06;5.23;0
2019-01-07;5.03;0
2019-01-08;6.76;0
2019-01-09;6.0;0
2019-01-10;5.46;0
2019-01-11;7.46;0
2019-01-12;5.55;0
2019-01-13;4.51;0
2019-01-14;5.19;0
2019-01-15;7.67;0
2019-01-16;5.38;0
2019-01-17;4.01;0
2019-01-18;4.28;0
2019-01-19;3.6;0
2019-01-20;1.55;0
2019-01-21;3.11;0
2019-01-22;2.43;0
2019-01-23;1.38;0
2019-01-24;1.59;0
2019-01-25;4.44;0
2019-01-26;5.52;0
2019-01-27;1.31;0
2019-01-28;2.15;0
2019-01-29;2.49;0
2019-01-30;5.4;0
2019-01-31;4.66;0
2019-02-01;1.9;0
2019-02-02;1.54;0
2019-02-03;2.69;0
2019-02-04;8.19;1
2019-02-05;8.45;1
2019-02-06;6.55;1
2019-02-07;4.88;1
2019-02-08;11.22;1
2019-02-09;10.5;1
2019-02-10;3.25;1
2019-02-11;5.05;1
2019-02-12;7.78;1
2019-02-13;12.6;1
2019-02-14;13.74;1
2019-02-15;17.65;1
2019-02-16;15.85;1
2019-02-17;9.05;1
2019-02-18;3.62;0
2019-02-19;3.83;0
2019-02-20;6.68;0
2019-02-21;7.24;0
2019-02-22;8.88;0
2019-02-23;7.77;0
2019-02-24;3.48;0
2019-02-25;10.46;0
2019-02-26;4.71;0
2019-02-27;5.84;0
2019-02-28;3.99;0
2019-03-01;0.6;0
2019-03-02;0.44;0
2019-03-03;0.25;0
2019-03-04;0.25;0
2019-03-05;1.52;0
2019-03-06;1.53;0
2019-03-07;1.52;0
2019-03-08;2.82;0
2019-03-09;2.82;0
2019-03-10;1.31;0
2019-03-11;2.6;0
2019-03-12;3.95;0
2019-03-13;1.86;0
2019-03-14;1.8;0
2019-03-15;4.07;0
2019-03-16;3.95;0
2019-03-17;1.35;0
2019-03-18;2.05;0
2019-03-19;2.8;0
2019-03-20;4.08;0
2019-03-21;4.63;0
2019-03-22;5.28;0
2019-03-23;3.62;0
2019-03-24;2.64;0
2019-03-25;2.68;0
2019-03-26;2.08;0
2019-03-27;3.0;0
2019-03-28;2.52;0
2019-03-29;3.12;0
2019-03-30;4.49;0
2019-03-31;2.75;0
2019-04-01;4.18;0
2019-04-02;2.56;0
2019-04-03;1.07;0
2019-04-04;2.6;0
2019-04-05;2.41;0
2019-04-06;2.49;0
2019-04-07;1.19;0
2019-04-08;2.39;0
2019-04-09;4.22;0
2019-04-10;1.36;0
2019-04-11;2.58;0
2019-04-12;3.8;0
2019-04-13;3.71;0
2019-04-14;2.37;0
2019-04-15;3.24;0
2019-04-16;3.24;0
2019-04-17;4.11;0
2019-04-18;1.79;0
2019-04-19;1.75;0
2019-04-20;3.09;0
2019-04-21;1.42;0
2019-04-22;2.27;0
2019-04-23;1.34;0
2019-04-24;2.09;0
2019-04-25;2.11;0
2019-04-26;1.2;0
2019-04-27;1.14;0
2019-04-28;0.84;0
2019-04-29;2.87;0
2019-04-30;4.03;0
2019-05-01;1.56;0
2019-05-02;2.32;0
2019-05-03;1.67;0
2019-05-04;1.44;0
2019-05-05;0.41;0
2019-05-06;2.09;0
2019-05-07;3.59;0
2019-05-08;1.45;0
2019-05-09;3.33;0
2019-05-10;3.61;0
2019-05-11;0.96;0
2019-05-12;0.87;0
2019-05-13;1.81;0
2019-05-14;2.81;0
2019-05-15;3.82;0
2019-05-16;1.51;0
2019-05-17;1.6;0
2019-05-18;1.3;0
2019-05-19;0.96;0
2019-05-20;2.28;0
2019-05-21;2.15;0
2019-05-22;2.02;0
2019-05-23;1.35;0
2019-05-24;1.12;0
2019-05-25;0.7;0
2019-05-26;0.62;0
2019-05-27;0.91;0
2019-05-28;0.98;0
2019-05-29;1.4;0
2019-05-30;1.2;0
2019-05-31;1.5;0
2019-06-01;1.81;0
2019-06-02;1.34;0
2019-06-03;1.28;0
2019-06-04;2.19;0
2019-06-05;0.95;0
2019-06-06;1.14;0
2019-06-07;0.6;0
2019-06-08;1.16;0
2019-06-09;0.75;0
2019-06-10;0.87;0
2019-06-11;0.48;0
2019-06-12;0.93;0
2019-06-13;1.48;0
2019-06-14;1.63;0
2019-06-15;0.72;0
2019-06-16;0.67;0
2019-06-17;1.17;0
2019-06-18;2.07;0
2019-06-19;1.89;0
2019-06-20;0.92;0
2019-06-21;0.65;0
2019-06-22;1.13;0
2019-06-23;1.04;0
2019-06-24;2.09;0
2019-06-25;1.8;0
2019-06-26;1.16;0
2019-06-27;1.46;0
2019-06-28;1.09;0
2019-06-29;0.86;0
2019-06-30;0.54;0
2019-07-01;1.0;0
2019-07-02;1.0;0
2019-07-03;1.47;0
2019-07-04;2.03;0
2019-07-05;0.34;0
2019-07-06;0.41;0
2019-07-07;0.54;0
2019-07-08;0.94;0
2019-07-09;1.41;0
2019-07-10;2.0;0
2019-07-11;2.88;0
2019-07-12;1.4;0
2019-07-13;0.63;0
2019-07-14;0.55;0
2019-07-15;1.38;0
2019-07-16;1.31;0
2019-07-17;1.5;0
2019-07-18;1.39;0
2019-07-19;1.61;0
2019-07-20;1.07;0
2019-07-21;0.68;0
2019-07-22;1.18;0
2019-07-23;1.73;0
2019-07-24;2.11;0
2019-07-25;3.07;0
2019-07-26;1.01;0
2019-07-27;0.83;0
2019-07-28;0.96;0
2019-07-29;1.4;0
2019-07-30;1.01;0
2019-07-31;1.35;0
2019-08-01;1.36;0
2019-08-02;1.8;0
2019-08-03;1.58;0
2019-08-04;1.14;0
2019-08-05;1.52;0
2019-08-06;1.7;0
2019-08-07;2.19;0
2019-08-08;2.04;0
2019-08-09;1.76;0
2019-08-10;1.7;0
2019-08-11;1.57;0
2019-08-12;1.58;0
2019-08-13;1.46;0
2019-08-14;1.39;0
2019-08-15;1.3;0
2019-08-16;1.16;0
2019-08-17;1.16;0
2019-08-18;1.01;0
2019-08-19;0.67;0
2019-08-20;0.74;0
2019-08-21;1.26;0
2019-08-22;1.33;0
2019-08-23;2.97;0
2019-08-24;1.3;0
2019-08-25;0.57;0
2019-08-26;1.13;0
2019-08-27;1.6;0
2019-08-28;1.44;0
2019-08-29;1.42;0
2019-08-30;1.93;0
2019-08-31;1.22;0
2019-09-01;0.55;0
2019-09-02;0.82;0
2019-09-03;1.74;0
2019-09-04;1.82;0
2019-09-05;2.0;0
2019-09-06;2.04;0
2019-09-07;1.41;0
2019-09-08;1.21;0
2019-09-09;1.12;0
2019-09-10;1.15;0
2019-09-11;1.47;0
2019-09-12;2.16;0
2019-09-13;1.88;0
2019-09-14;1.43;0
2019-09-15;0.92;0
2019-09-16;2.0;0
2019-09-17;3.01;0
2019-09-18;2.04;0
2019-09-19;1.35;0
2019-09-20;2.48;0
2019-09-21;1.36;0
2019-09-22;1.46;0
2019-09-23;2.76;0
2019-09-24;3.03;0
2019-09-25;3.96;0
2019-09-26;3.07;0
2019-09-27;2.27;0
2019-09-28;2.03;0
2019-09-29;2.09;0
2019-09-30;2.18;0
2019-10-01;1.11;0
2019-10-02;1.36;0
2019-10-03;2.18;0
2019-10-04;1.89;0
2019-10-05;2.34;0
2019-10-06;1.58;0
2019-10-07;3.33;0
2019-10-08;3.13;0
2019-10-09;3.13;0
2019-10-10;2.93;0
2019-10-11;4.53;0
2019-10-12;1.68;0
2019-10-13;1.46;0
2019-10-14;1.61;0
2019-10-15;3.57;0
